                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.72126,                0.40499,                 0.8429,                0.50726,                0.29102,                0.31713,                0.18398,                 1.1372,                 1.0195,                0.97111,               0.001882,               0.001882,               0.001882
                     84,                0.71955,                0.40413,                0.84274,                0.50822,                0.29109,                0.31755,                0.18415,                  1.138,                 1.0212,                0.97134,               0.001783,               0.001783,               0.001783
                     85,                0.71806,                0.40232,                0.84236,                0.51276,                0.29055,                0.31798,                0.18425,                 1.1386,                 1.0222,                0.97104,               0.001684,               0.001684,               0.001684
                     86,                0.71354,                0.40008,                0.84173,                 0.5205,                0.28959,                 0.3187,                 0.1844,                 1.1391,                 1.0231,                0.97086,               0.001585,               0.001585,               0.001585
                     87,                0.71089,                0.39788,                0.84106,                0.52361,                 0.2888,                0.31809,                 0.1843,                 1.1395,                 1.0241,                 0.9708,               0.001486,               0.001486,               0.001486
                     88,                0.70914,                0.39748,                0.84075,                0.52634,                 0.2869,                0.31814,                0.18438,                 1.1401,                 1.0247,                 0.9707,               0.001387,               0.001387,               0.001387
                     89,                0.70645,                 0.3956,                0.84005,                0.52915,                0.28455,                0.31756,                0.18443,                 1.1403,                 1.0248,                0.97077,               0.001288,               0.001288,               0.001288
                     90,                0.70438,                0.39425,                0.84009,                0.53045,                0.28363,                0.31741,                 0.1845,                 1.1408,                 1.0245,                0.97067,               0.001189,               0.001189,               0.001189
                     91,                0.69041,                0.37718,                0.82924,                0.53216,                0.28267,                0.31685,                0.18379,                 1.1421,                 1.0268,                0.97086,                0.00109,                0.00109,                0.00109
                     92,                0.68111,                0.37224,                 0.8275,                0.53108,                0.28131,                0.31517,                0.18291,                 1.1438,                 1.0291,                0.97136,               0.000991,               0.000991,               0.000991
                     93,                0.67527,                0.36886,                0.82631,                0.53293,                 0.2787,                0.31394,                0.18218,                 1.1453,                 1.0318,                 0.9715,               0.000892,               0.000892,               0.000892
                     94,                0.67145,                0.36698,                 0.8265,                0.53377,                0.27771,                0.31219,                0.18142,                 1.1467,                 1.0356,                0.97163,               0.000793,               0.000793,               0.000793
                     95,                0.66628,                0.36437,                0.82447,                0.52834,                0.27725,                0.31017,                0.18024,                 1.1484,                 1.0412,                 0.9717,               0.000694,               0.000694,               0.000694
                     96,                0.66314,                0.36242,                0.82405,                0.52446,                0.27642,                 0.3087,                0.17908,                   1.15,                 1.0455,                0.97158,               0.000595,               0.000595,               0.000595
                     97,                0.65781,                0.35959,                0.82272,                0.52209,                0.27559,                0.30756,                 0.1783,                 1.1514,                 1.0493,                0.97136,               0.000496,               0.000496,               0.000496
                     98,                0.65478,                0.35802,                0.82265,                0.51631,                0.27539,                0.30639,                0.17768,                 1.1526,                 1.0537,                0.97126,               0.000397,               0.000397,               0.000397
                     99,                0.65063,                0.35574,                0.82197,                0.51095,                0.27533,                0.30489,                0.17695,                 1.1541,                 1.0576,                0.97134,               0.000298,               0.000298,               0.000298
                    100,                0.64694,                0.35371,                0.82146,                0.50828,                0.27376,                0.30358,                0.17622,                 1.1555,                 1.0608,                0.97135,               0.000199,               0.000199,               0.000199
